StudyID	SiteID	GeographicalLatitude	GeographicalLongitude	AverageCoordinates	Hemisphere	Realm	GeographicalTerritory	GeographicalTerritory2	Habitat	HabitatSpecification	Ecosystem	StudyContext	BiologicalOrganisation	SpeciesType	SamplingMethodology									
StudyID_16	SiteID_102	44	-67.05	No	North	Nearctic	Atlantic	Ocean	Western	Scotian	Shelf	Marine	Marine	Continental	shelf	Harvesting	Community	Fish	Trawling					
StudyID_16	SiteID_103	56.5	3.5	No	North	Palearctic	Europe	North	Sea	Marine	Marine	NA	Harvesting	Community	Fish	Trawling								
StudyID_16	SiteID_104	39	-10	No	North	Palearctic	Europe	Portugal	Marine	Marine	Shallow	marine	waters	Harvesting	Community	Fish	Trawling							
StudyID_16	SiteID_105	39	-11	No	North	Palearctic	Europe	Portugal	Marine	Marine	Deep	marine	waters	Harvesting	Community	Fish	Trawling							
StudyID_16	SiteID_106	19	-92	No	North	Neotropic	North	America	Mexico	Marine	Marine	Continental	shelf	Harvesting	Community	Fish	Trawling							
StudyID_16	SiteID_107	-35.5	151	No	South	Australasia	Oceania	Australia	Marine	Marine	NA	Harvesting	Community	Fish	Trawling									
StudyID_16	SiteID_108	-49.5	-65	No	South	Neotropic	South	America	Argentina	Marine	Marine	NA	Harvesting	Community	Fish	Trawling								
StudyID_16	SiteID_109	-35	-75	No	South	Neotropic	South	America	Chile	Marine	Marine	Shallow	marine	waters	Harvesting	Community	Fish	Trawling						
StudyID_17	SiteID_110	-23.2	13.74	No	South	Afrotropic	Africa	Namibia	Marine	Marine	Continental	shelf	Harvesting	Community	Fish	Trawling								
StudyID_18	SiteID_111	46.927	-96.282	No	North	Nearctic	North	America	USA	Freshwater	Lentic	Wetland	Trophic	interaction	Foodweb	Zooplankton+Macroinvertebrate	Ekman	dredge						
StudyID_19	SiteID_112	42.049	3.225	No	North	Palearctic	Europe	Spain	Marine	Marine	Archipelago	Harvesting	Community	Fish	Underwater	visual	survey							
StudyID_19	SiteID_113	41.717	2.941	No	North	Palearctic	Europe	Spain	Marine	Marine	Sea	Harvesting	Community	Fish	Underwater	visual	survey							
StudyID_19	SiteID_114	42.344	3.198	No	North	Palearctic	Europe	Spain	Marine	Marine	Sea	Harvesting	Community	Fish	Underwater	visual	survey							
StudyID_19	SiteID_115	42.05	3.206	No	North	Palearctic	Europe	Spain	Marine	Marine	Sea	Harvesting	Community	Fish	Underwater	visual	survey							
StudyID_20	SiteID_116	48.4	-74.507	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_117	48.393	-74.871	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_118	48.898	-75.99	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_119	48.856	-75.825	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_120	48.866	-73.285	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_121	48.757	-75.995	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_122	47.929	-74.624	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_123	48.884	-73.287	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_124	48.188	-74.605	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_125	48.846	-73.801	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_126	48.861	-73.911	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_127	48.135	-75.04	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_128	48.044	-75.107	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_129	48.204	-74.84	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_130	48.104	-74.938	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_131	48.093	-74.921	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_132	48.059	-74.926	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_133	48.086	-74.852	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
StudyID_20	SiteID_134	48.4	-74.67	No	North	Nearctic	North	America	Canada	Freshwater	Lentic	Lake	Landscape	modification	Community	Zooplankton	Cantilevering	net						
